,V1,V2,V4,TEO,9/46d,F5,8m,7A,DP,2,5,7B,STPr,STPi,STPc,PBr,TEpd,24c,F1,F2,F7,ProM,8l,9/46v,46d,8B,10,MT,7m
V1,0,7.75e-01,1.79e-02,0,0,5.37e-05,0,1.81e-05,1.19e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43e-04,0,0,0,0,1.90e-02,2.68e-05
V2,6.83e-01,0,4.36e-01,2.43e-02,1.78e-03,3.41e-05,1.23e-04,3.61e-05,7.94e-02,0,0,3.98e-05,5.28e-06,0,3.88e-04,1.12e-05,1.75e-04,0,0,0,9.04e-05,0,3.49e-03,0,2.24e-03,0,1.87e-05,1.19e-01,1.45e-03
V4,2.04e-01,1.70e-01,0,2.56e-01,8.55e-05,0,1.10e-04,3.01e-03,3.38e-01,0,0,0,2.64e-06,0,1.36e-03,2.24e-05,2.74e-02,0,0,0,0,0,1.21e-02,0,0,7.73e-06,0,3.81e-01,3.66e-04
TEO,2.48e-02,1.09e-03,2.39e-01,0,7.77e-06,0,0,2.30e-03,3.38e-04,0,0,0,5.28e-06,0,1.66e-04,0,1.38e-01,0,0,0,4.52e-05,0,1.47e-03,0,1.66e-05,0,0,3.82e-02,0
9_46d,0,0,7.24e-06,2.57e-05,0,3.41e-05,3.78e-02,2.27e-03,7.83e-04,0,0,2.52e-04,9.91e-05,2.04e-04,2.24e-03,4.07e-03,0,5.11e-03,0,1.66e-04,2.51e-02,0,1.03e-02,1.46e-02,6.04e-01,8.70e-02,3.76e-03,5.96e-06,2.16e-02
F5,0,0,0,3.85e-05,6.37e-04,0,7.03e-03,1.31e-03,1.59e-05,1.42e-01,6.84e-03,3.66e-02,0,0,1.01e-03,0,7.52e-06,2.21e-02,9.00e-03,4.19e-02,2.14e-03,3.17e-01,1.27e-02,1.80e-02,4.98e-05,7.73e-06,1.37e-05,2.98e-06,2.98e-05
8m,0,5.73e-05,0,0,2.22e-01,4.39e-05,0,1.94e-02,1.90e-03,0,0,1.86e-04,3.43e-04,4.30e-05,6.88e-03,4.36e-04,2.51e-05,2.77e-05,4.50e-05,2.54e-04,3.86e-02,0,4.15e-01,3.47e-02,3.16e-02,4.91e-02,2.80e-03,6.28e-04,1.86e-02
7A,0,0,4.28e-05,4.62e-04,7.31e-04,7.32e-05,1.64e-03,0,1.18e-01,5.69e-06,1.51e-01,3.97e-01,1.88e-04,0,1.41e-03,2.24e-05,2.02e-03,7.96e-03,3.60e-04,8.33e-03,2.12e-03,1.69e-05,1.51e-03,2.23e-02,5.15e-04,8.88e-04,1.48e-05,4.53e-04,7.85e-02
DP,1.85e-04,2.67e-05,4.28e-05,1.17e-03,4.66e-05,0,2.08e-04,2.05e-02,0,0,0,0,3.70e-05,0,1.94e-04,5.59e-05,8.02e-05,0,0,0,0,0,5.21e-04,0,2.57e-04,1.04e-04,7.39e-06,1.46e-02,1.34e-02
2,0,0,0,3.85e-05,4.66e-05,2.03e-01,4.91e-05,1.81e-05,0,0,3.63e-02,3.08e-03,0,0,6.92e-05,0,0,2.24e-03,1.25e-01,0,0,2.79e-02,2.35e-04,1.81e-03,1.66e-05,0,0,2.38e-05,1.19e-05
